date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:13:55	3638/3638	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2010%20Apr%202018%2013:13:54%20GMT	http://go.vinhphucweb.com/robots.txt		(from )
20:13:55	24501/24501	---MCZ	200	added ('OK')	text/html	date:Tue,%2010%20Apr%202018%2013:13:55%20GMT	http://go.vinhphucweb.com/	E:/My%20Web%20Sites/duliccaptreo/go.vinhphucweb.com/index.html	(from )
20:13:55	1683/1683	---M-Z	200	added ('OK')	text/css	date:Tue,%2010%20Apr%202018%2006:03:52%20GMT	http://go.vinhphucweb.com/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.0.1	E:/My%20Web%20Sites/duliccaptreo/go.vinhphucweb.com/wp-content/plugins/contact-form-7/includes/css/styles972f.css	(from http://go.vinhphucweb.com/)
20:13:56	3362/3362	---M-Z	200	added ('OK')	text/css	date:Tue,%2010%20Apr%202018%2006:11:58%20GMT	http://go.vinhphucweb.com/wp-content/themes/vpw_theme/css/lity.css?ver=4.9.5	E:/My%20Web%20Sites/duliccaptreo/go.vinhphucweb.com/wp-content/themes/vpw_theme/css/lity55fe.css	(from http://go.vinhphucweb.com/)
20:13:56	771/771	---M--	200	added ('OK')	application/rss+xml	etag:%223d77058376341f18b456e3289a7757d8%22	http://go.vinhphucweb.com/trang-mau/feed/	E:/My%20Web%20Sites/duliccaptreo/go.vinhphucweb.com/trang-mau/feed/index.html	(from http://go.vinhphucweb.com/)
20:13:56	99967/99967	---M-Z	200	added ('OK')	text/css	date:Tue,%2010%20Apr%202018%2006:03:52%20GMT	http://go.vinhphucweb.com/wp-content/themes/vpw_theme/css/bootstrap.min.css?ver=4.9.5	E:/My%20Web%20Sites/duliccaptreo/go.vinhphucweb.com/wp-content/themes/vpw_theme/css/bootstrap.min55fe.css	(from http://go.vinhphucweb.com/)
20:13:56	13191/13191	---M-Z	200	added ('OK')	text/css	date:Tue,%2010%20Apr%202018%2006:03:52%20GMT	http://go.vinhphucweb.com/wp-content/themes/vpw_theme/css/bootstrap-theme.min.css?ver=4.9.5	E:/My%20Web%20Sites/duliccaptreo/go.vinhphucweb.com/wp-content/themes/vpw_theme/css/bootstrap-theme.min55fe.css	(from http://go.vinhphucweb.com/)
20:13:56	2981/2981	---M-Z	200	added ('OK')	text/css	date:Tue,%2010%20Apr%202018%2006:12:01%20GMT	http://go.vinhphucweb.com/wp-content/themes/vpw_theme/css/owl.carousel.css?ver=4.9.5	E:/My%20Web%20Sites/duliccaptreo/go.vinhphucweb.com/wp-content/themes/vpw_theme/css/owl.carousel55fe.css	(from http://go.vinhphucweb.com/)
20:13:56	927/927	---M-Z	200	added ('OK')	text/css	date:Tue,%2010%20Apr%202018%2006:12:04%20GMT	http://go.vinhphucweb.com/wp-content/themes/vpw_theme/css/owl.theme.default.css?ver=4.9.5	E:/My%20Web%20Sites/duliccaptreo/go.vinhphucweb.com/wp-content/themes/vpw_theme/css/owl.theme.default55fe.css	(from http://go.vinhphucweb.com/)
20:13:57	41626/41626	---M-Z	200	added ('OK')	text/css	date:Tue,%2010%20Apr%202018%2006:03:52%20GMT	http://go.vinhphucweb.com/wp-content/themes/vpw_theme/css/animate.min.css?ver=4.9.5	E:/My%20Web%20Sites/duliccaptreo/go.vinhphucweb.com/wp-content/themes/vpw_theme/css/animate.min55fe.css	(from http://go.vinhphucweb.com/)
20:13:57	6688/6688	---M-Z	200	added ('OK')	text/css	date:Tue,%2010%20Apr%202018%2010:01:19%20GMT	http://go.vinhphucweb.com/wp-content/themes/vpw_theme/style.css?ver=4.9.5	E:/My%20Web%20Sites/duliccaptreo/go.vinhphucweb.com/wp-content/themes/vpw_theme/style55fe.css	(from http://go.vinhphucweb.com/)
20:13:57	31004/31004	---M-Z	200	added ('OK')	text/css	date:Tue,%2010%20Apr%202018%2006:03:52%20GMT	http://go.vinhphucweb.com/wp-content/themes/vpw_theme/icon/css/font-awesome.min.css?ver=4.9.5	E:/My%20Web%20Sites/duliccaptreo/go.vinhphucweb.com/wp-content/themes/vpw_theme/icon/css/font-awesome.min55fe.css	(from http://go.vinhphucweb.com/)
20:13:58	10056/10056	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2010%20Apr%202018%2006:04:24%20GMT	http://go.vinhphucweb.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	E:/My%20Web%20Sites/duliccaptreo/go.vinhphucweb.com/wp-includes/js/jquery/jquery-migrate.min330a.js	(from http://go.vinhphucweb.com/)
20:13:59	842/842	---M--	200	added ('OK')	text/xml	date:Tue,%2010%20Apr%202018%2013:13:58%20GMT	http://go.vinhphucweb.com/xmlrpc.php?rsd	E:/My%20Web%20Sites/duliccaptreo/go.vinhphucweb.com/xmlrpc0db0.php	(from http://go.vinhphucweb.com/)
